RouteNumber,RouteDocId,StopIndex,StopName,ScheduledTime,Status,Confidence,Source,FlagReason,Lat,Lng,MatchedAddress,GoogleMapsUrl,Candidate2,Candidate3
1,route_01,1,"THIRUVOTTIYUR",06:05,ok,0.98,canonical_cache,"",13.1602,80.3024,"THIRUVOTTIYUR, Chennai, Tamil Nadu",https://www.google.com/maps?q=13.1602,80.3024,,
1,route_01,2,"N-4",06:10,ok,0.98,canonical_cache,"",13.118,80.2965,"N-4, Chennai, Tamil Nadu",https://www.google.com/maps?q=13.118,80.2965,,
1,route_01,3,"KASIMEDU SIGNAL",06:15,ok,0.98,canonical_cache,"",13.125,80.298,"KASIMEDU SIGNAL, Chennai, Tamil Nadu",https://www.google.com/maps?q=13.125,80.298,,
2,route_02,1,"PURASAIWALKAM TANK",06:10,ok,0.98,canonical_cache,"",13.0898,80.257,"PURASAIWALKAM TANK, Chennai, Tamil Nadu",https://www.google.com/maps?q=13.0898,80.257,,
2,route_02,2,"GENGU REDDY SUB WAY",06:15,ok,0.98,canonical_cache,"",13.0782,80.2523,"GENGU REDDY SUB WAY, Chennai, Tamil Nadu",https://www.google.com/maps?q=13.0782,80.2523,,
2,route_02,3,"CHETPET",06:20,ok,0.98,canonical_cache,"",13.0718,80.2415,"CHETPET, Chennai, Tamil Nadu",https://www.google.com/maps?q=13.0718,80.2415,,
2,route_02,4,"VALLUVAR KOTTAM",06:30,ok,0.98,canonical_cache,"",13.0539,80.2415,"VALLUVAR KOTTAM, Chennai, Tamil Nadu",https://www.google.com/maps?q=13.0539,80.2415,,
3,route_03,1,"PARRYS CORNER",06:15,ok,0.98,canonical_cache,"",13.0887,80.2882,"PARRYS CORNER, Chennai, Tamil Nadu",https://www.google.com/maps?q=13.0887,80.2882,,
3,route_03,2,"KANNAGI STATUE",06:20,ok,0.98,canonical_cache,"",13.0601,80.2828,"KANNAGI STATUE, Chennai, Tamil Nadu",https://www.google.com/maps?q=13.0601,80.2828,,
3,route_03,3,"LIGHT HOUSE",06:23,ok,0.98,canonical_cache,"",13.0398,80.2785,"LIGHT HOUSE, Chennai, Tamil Nadu",https://www.google.com/maps?q=13.0398,80.2785,,
3,route_03,4,"ALL INDIA RADIO",06:25,ok,0.98,canonical_cache,"",13.035,80.277,"ALL INDIA RADIO, Chennai, Tamil Nadu",https://www.google.com/maps?q=13.035,80.277,,
3,route_03,5,"MRC NAGAR",06:35,ok,0.98,canonical_cache,"",13.018,80.275,"MRC NAGAR, Chennai, Tamil Nadu",https://www.google.com/maps?q=13.018,80.275,,
3,route_03,6,"SRP TOOLS",06:40,ok,0.98,canonical_cache,"",12.9791,80.2526,"SRP TOOLS, Chennai, Tamil Nadu",https://www.google.com/maps?q=12.9791,80.2526,,
3,route_03,7,"KANDANCHAVADI",06:45,ok,0.98,canonical_cache,"",12.9666,80.2478,"KANDANCHAVADI, Chennai, Tamil Nadu",https://www.google.com/maps?q=12.9666,80.2478,,
4,route_04,1,"KALPAKKAM",06:25,ok,0.98,canonical_cache,"",12.553,80.161,"KALPAKKAM, Chennai, Tamil Nadu",https://www.google.com/maps?q=12.553,80.161,,
4,route_04,2,"ANUPURAM",06:30,ok,0.98,canonical_cache,"",12.569,80.125,"ANUPURAM, Chennai, Tamil Nadu",https://www.google.com/maps?q=12.569,80.125,,
4,route_04,3,"MAHABALIPURAM KOOT ROAD(POONCHERY)",06:40,ok,0.98,canonical_cache,"",12.618,80.179,"MAHABALIPURAM KOOT ROAD(POONCHERY), Chennai, Tamil Nadu",https://www.google.com/maps?q=12.618,80.179,,
4,route_04,4,"THANDALAM",06:45,ok,0.98,canonical_cache,"",12.671,80.17,"THANDALAM, Chennai, Tamil Nadu",https://www.google.com/maps?q=12.671,80.17,,
4,route_04,5,"THIRUPORUR",06:55,ok,0.98,canonical_cache,"",12.724,80.187,"THIRUPORUR, Chennai, Tamil Nadu",https://www.google.com/maps?q=12.724,80.187,,
5,route_05,1,"NELSON MANICKAM ROAD",06:15,ok,0.98,canonical_cache,"",13.065,80.224,"NELSON MANICKAM ROAD, Chennai, Tamil Nadu",https://www.google.com/maps?q=13.065,80.224,,
5,route_05,2,"POTHYS(T.NAGAR)",06:25,ok,0.98,canonical_cache,"",13.0405,80.2335,"POTHYS(T.NAGAR), Chennai, Tamil Nadu",https://www.google.com/maps?q=13.0405,80.2335,,
6,route_06,1,"SANTHOME",06:30,ok,0.98,canonical_cache,"",13.0335,80.278,"SANTHOME, Chennai, Tamil Nadu",https://www.google.com/maps?q=13.0335,80.278,,
6,route_06,2,"PATINAPAKKAM",06:35,ok,0.98,canonical_cache,"",13.027,80.277,"PATINAPAKKAM, Chennai, Tamil Nadu",https://www.google.com/maps?q=13.027,80.277,,
6,route_06,3,"SATHYA STUDIOS",06:45,ok,0.98,canonical_cache,"",13.022,80.26,"SATHYA STUDIOS, Chennai, Tamil Nadu",https://www.google.com/maps?q=13.022,80.26,,
6,route_06,4,"NEELANGARAI",06:50,ok,0.98,canonical_cache,"",12.949,80.257,"NEELANGARAI, Chennai, Tamil Nadu",https://www.google.com/maps?q=12.949,80.257,,
6,route_06,5,"INJAMBAKKAM",06:55,ok,0.98,canonical_cache,"",12.92,80.251,"INJAMBAKKAM, Chennai, Tamil Nadu",https://www.google.com/maps?q=12.92,80.251,,
7,route_07,1,"TRIPLICANE",06:25,ok,0.98,canonical_cache,"",13.0587,80.2757,"TRIPLICANE, Chennai, Tamil Nadu",https://www.google.com/maps?q=13.0587,80.2757,,
7,route_07,2,"ROYAPETTAH",06:30,ok,0.98,canonical_cache,"",13.054,80.262,"ROYAPETTAH, Chennai, Tamil Nadu",https://www.google.com/maps?q=13.054,80.262,,
8,route_08,1,"BESANT NAGAR BUS STAND",06:30,ok,0.98,canonical_cache,"",13.0006,80.2658,"BESANT NAGAR BUS STAND, Chennai, Tamil Nadu",https://www.google.com/maps?q=13.0006,80.2658,,
8,route_08,2,"VANNANTHURAI BUS STAND",06:40,ok,0.98,canonical_cache,"",12.993,80.26,"VANNANTHURAI BUS STAND, Chennai, Tamil Nadu",https://www.google.com/maps?q=12.993,80.26,,
8,route_08,3,"VETTUVANKENI CHRUCH",06:50,ok,0.98,canonical_cache,"",12.935,80.254,"VETTUVANKENI CHRUCH, Chennai, Tamil Nadu",https://www.google.com/maps?q=12.935,80.254,,
8,route_08,4,"AKKARI",07:00,ok,0.98,canonical_cache,"",12.905,80.248,"AKKARI, Chennai, Tamil Nadu",https://www.google.com/maps?q=12.905,80.248,,
9,route_09,1,"MANDAVELI",06:25,ok,0.98,canonical_cache,"",13.028,80.261,"MANDAVELI, Chennai, Tamil Nadu",https://www.google.com/maps?q=13.028,80.261,,
9,route_09,2,"KALIYAPPA HOSPITAL",06:30,ok,0.98,canonical_cache,"",13.031,80.255,"KALIYAPPA HOSPITAL, Chennai, Tamil Nadu",https://www.google.com/maps?q=13.031,80.255,,
9,route_09,3,"MOOPANAR BRIDGE",06:35,ok,0.98,canonical_cache,"",13.03,80.245,"MOOPANAR BRIDGE, Chennai, Tamil Nadu",https://www.google.com/maps?q=13.03,80.245,,
10,route_10,1,"MADHYAKAILASH",06:30,ok,0.98,canonical_cache,"",13.007,80.248,"MADHYAKAILASH, Chennai, Tamil Nadu",https://www.google.com/maps?q=13.007,80.248,,
10,route_10,2,"MADIPAKKAM KOOT ROAD",06:45,ok,0.98,canonical_cache,"",12.968,80.198,"MADIPAKKAM KOOT ROAD, Chennai, Tamil Nadu",https://www.google.com/maps?q=12.968,80.198,,
11,route_11,1,"POWER HOUSE",06:25,ok,0.98,canonical_cache,"",13.052,80.222,"POWER HOUSE, Chennai, Tamil Nadu",https://www.google.com/maps?q=13.052,80.222,,
11,route_11,2,"SAMIYAR MADAM",06:30,ok,0.98,canonical_cache,"",13.05,80.225,"SAMIYAR MADAM, Chennai, Tamil Nadu",https://www.google.com/maps?q=13.05,80.225,,
11,route_11,3,"WEST MAMBALAM",06:35,ok,0.98,canonical_cache,"",13.037,80.224,"WEST MAMBALAM, Chennai, Tamil Nadu",https://www.google.com/maps?q=13.037,80.224,,
13,route_13,1,"KUTCHERY ROAD",06:15,ok,0.98,canonical_cache,"",13.034,80.268,"KUTCHERY ROAD, Chennai, Tamil Nadu",https://www.google.com/maps?q=13.034,80.268,,
13,route_13,2,"LUZ",06:20,ok,0.98,canonical_cache,"",13.038,80.265,"LUZ, Chennai, Tamil Nadu",https://www.google.com/maps?q=13.038,80.265,,
13,route_13,3,"MYLAPORE TANK",06:25,ok,0.98,canonical_cache,"",13.033,80.27,"MYLAPORE TANK, Chennai, Tamil Nadu",https://www.google.com/maps?q=13.033,80.27,,
13,route_13,4,"MANDAVELI BSNL OFFICE",06:30,ok,0.98,canonical_cache,"",13.026,80.262,"MANDAVELI BSNL OFFICE, Chennai, Tamil Nadu",https://www.google.com/maps?q=13.026,80.262,,
13,route_13,5,"TANSI NAGAR",06:45,ok,0.98,canonical_cache,"",12.986,80.224,"TANSI NAGAR, Chennai, Tamil Nadu",https://www.google.com/maps?q=12.986,80.224,,
14,route_14,1,"ADYAR AAVIN",06:30,ok,0.98,canonical_cache,"",13.006,80.255,"ADYAR AAVIN, Chennai, Tamil Nadu",https://www.google.com/maps?q=13.006,80.255,,
14,route_14,2,"ADYAR TELEPHONE EXCHANGE",06:35,ok,0.98,canonical_cache,"",13.001,80.257,"ADYAR TELEPHONE EXCHANGE, Chennai, Tamil Nadu",https://www.google.com/maps?q=13.001,80.257,,
14,route_14,3,"PTC QUARTERS",06:40,ok,0.98,canonical_cache,"",12.989,80.248,"PTC QUARTERS, Chennai, Tamil Nadu",https://www.google.com/maps?q=12.989,80.248,,
15,route_15,1,"KOTTURPURAM",06:20,ok,0.98,canonical_cache,"",13.0186,80.252,"KOTTURPURAM, Chennai, Tamil Nadu",https://www.google.com/maps?q=13.0186,80.252,,
15,route_15,2,"THORAIPAKKAM",06:35,ok,0.98,canonical_cache,"",12.943,80.237,"THORAIPAKKAM, Chennai, Tamil Nadu",https://www.google.com/maps?q=12.943,80.237,,
15,route_15,3,"KARAPAKKAM",06:40,ok,0.98,canonical_cache,"",12.9266,80.2308,"KARAPAKKAM, Chennai, Tamil Nadu",https://www.google.com/maps?q=12.9266,80.2308,,
17,route_17,1,"DEVAR STATUE (NANDANAM JUNCTION)",06:40,ok,0.98,canonical_cache,"",13.031,80.241,"DEVAR STATUE (NANDANAM JUNCTION), Chennai, Tamil Nadu",https://www.google.com/maps?q=13.031,80.241,,
17,route_17,2,"VELACHERY VIJAYANAGAR",06:55,ok,0.98,canonical_cache,"",12.9723,80.2212,"VELACHERY VIJAYANAGAR, Chennai, Tamil Nadu",https://www.google.com/maps?q=12.9723,80.2212,,
18,route_18,1,"GANDHIMANDAPAM",06:45,ok,0.98,canonical_cache,"",13.011,80.236,"GANDHIMANDAPAM, Chennai, Tamil Nadu",https://www.google.com/maps?q=13.011,80.236,,
18,route_18,2,"GUINDY RACE COURCE",06:50,ok,0.98,canonical_cache,"",12.998,80.218,"GUINDY RACE COURCE, Chennai, Tamil Nadu",https://www.google.com/maps?q=12.998,80.218,,
18,route_18,3,"NGO COLONY",06:55,ok,0.98,canonical_cache,"",12.985,80.205,"NGO COLONY, Chennai, Tamil Nadu",https://www.google.com/maps?q=12.985,80.205,,
19,route_19,1,"AYODHYA MANDAPAM",06:30,ok,0.98,canonical_cache,"",13.038,80.221,"AYODHYA MANDAPAM, Chennai, Tamil Nadu",https://www.google.com/maps?q=13.038,80.221,,
19,route_19,2,"VELACHERY RAILWAY STATION",06:50,ok,0.98,canonical_cache,"",12.9784,80.2185,"VELACHERY RAILWAY STATION, Chennai, Tamil Nadu",https://www.google.com/maps?q=12.9784,80.2185,,
19,route_19,3,"PALLIKARANAI SIVAN KOIL",07:00,ok,0.98,canonical_cache,"",12.935,80.214,"PALLIKARANAI SIVAN KOIL, Chennai, Tamil Nadu",https://www.google.com/maps?q=12.935,80.214,,
20,route_20,1,"PERUNGUDI",06:45,ok,0.98,canonical_cache,"",12.9651,80.2466,"PERUNGUDI, Chennai, Tamil Nadu",https://www.google.com/maps?q=12.9651,80.2466,,
20,route_20,2,"RADIANCE APT.",06:50,ok,0.98,canonical_cache,"",12.955,80.225,"RADIANCE APT., Chennai, Tamil Nadu",https://www.google.com/maps?q=12.955,80.225,,
20,route_20,3,"KAMATCHI HOSPITAL",06:55,ok,0.98,canonical_cache,"",12.948,80.215,"KAMATCHI HOSPITAL, Chennai, Tamil Nadu",https://www.google.com/maps?q=12.948,80.215,,
20,route_20,4,"S KOLATHUR",07:00,ok,0.98,canonical_cache,"",12.942,80.201,"S KOLATHUR, Chennai, Tamil Nadu",https://www.google.com/maps?q=12.942,80.201,,
23,route_23,1,"VGP",07:00,ok,0.98,canonical_cache,"",12.909,80.246,"VGP, Chennai, Tamil Nadu",https://www.google.com/maps?q=12.909,80.246,,
23,route_23,2,"PERUMBAKKAM",07:15,ok,0.98,canonical_cache,"",12.904,80.198,"PERUMBAKKAM, Chennai, Tamil Nadu",https://www.google.com/maps?q=12.904,80.198,,
23,route_23,3,"MEDAVAKKAM",07:20,ok,0.98,canonical_cache,"",12.9215,80.1936,"MEDAVAKKAM, Chennai, Tamil Nadu",https://www.google.com/maps?q=12.9215,80.1936,,
25,route_25,1,"RAM NAGAR",06:35,ok,0.98,canonical_cache,"",12.968,80.201,"RAM NAGAR, Chennai, Tamil Nadu",https://www.google.com/maps?q=12.968,80.201,,
25,route_25,2,"UTI BANK",06:45,ok,0.98,canonical_cache,"",12.962,80.195,"UTI BANK, Chennai, Tamil Nadu",https://www.google.com/maps?q=12.962,80.195,,
30,route_30,1,"PERAMBUR RAILWAY STATION",06:10,ok,0.98,canonical_cache,"",13.1143,80.2416,"PERAMBUR RAILWAY STATION, Chennai, Tamil Nadu",https://www.google.com/maps?q=13.1143,80.2416,,
30,route_30,2,"PERAMBUR CHURCH",06:15,ok,0.98,canonical_cache,"",13.111,80.238,"PERAMBUR CHURCH, Chennai, Tamil Nadu",https://www.google.com/maps?q=13.111,80.238,,
30,route_30,3,"KOLATHUR JUNCTION NEAR VINAYGAR TEMPLE",06:25,ok,0.98,canonical_cache,"",13.118,80.212,"KOLATHUR JUNCTION NEAR VINAYGAR TEMPLE, Chennai, Tamil Nadu",https://www.google.com/maps?q=13.118,80.212,,
31,route_31,1,"MANALI NEW TOWN",06:00,ok,0.98,canonical_cache,"",13.203,80.278,"MANALI NEW TOWN, Chennai, Tamil Nadu",https://www.google.com/maps?q=13.203,80.278,,
